event_type,Total_Events,,,,,
view,2664312,,,,,
addtocart,69332,,,,,
transaction,22457,,,,,
,,,,,,
Views,Cart_Additions,Purchases,View_To_Cart_Conversion,Cart_To_Purchase_Conversion,View_To_Purchase_Conversion,
2664312,69332,22457,2.6,32.39,0.84,
,,,,,,
Cart_Additions,Purchases,Abandoned_Carts,Cart_Abandonment_Rate,,,
69332,22457,46875,67.61,,,
,,,,,,
item_id,Views,Cart_Additions,Purchases,View_To_Cart,Cart_To_Purchase,Overall_Conversion
213834,293,17,92,5.8,541.18,31.4
334401,200,8,28,4,350,14
119736,752,44,97,5.85,220.45,12.9
140527,111,31,12,27.93,38.71,10.81
256146,130,24,14,18.46,58.33,10.77
220513,101,16,10,15.84,62.5,9.9
246532,113,15,11,13.27,73.33,9.73
288525,178,20,16,11.24,80,8.99
174489,146,24,13,16.44,54.17,8.9
92466,181,30,16,16.57,53.33,8.84
130113,104,11,9,10.58,81.82,8.65
321089,128,12,11,9.38,91.67,8.59
179290,108,13,9,12.04,69.23,8.33
382885,232,23,19,9.91,82.61,8.19
217605,232,23,19,9.91,82.61,8.19
416017,393,49,32,12.47,65.31,8.14
134191,113,12,9,10.62,75,7.96
325772,113,13,9,11.5,69.23,7.96
399192,152,18,12,11.84,66.67,7.89
369112,117,14,9,11.97,64.29,7.69
,,,,,,
item_id,Views,Purchases,Conversion_Rate,,,
187946,3410,0,0,,,
5411,2325,0,0,,,
370653,1854,0,0,,,
298009,1642,0,0,,,
96924,1633,0,0,,,
335975,1428,0,0,,,
151444,1230,0,0,,,
142466,1135,0,0,,,
434782,1069,0,0,,,
91755,1024,0,0,,,
102306,1013,0,0,,,
29100,982,0,0,,,
225778,768,0,0,,,
109618,764,0,0,,,
209994,753,0,0,,,
232509,746,0,0,,,
359491,736,0,0,,,
429094,727,0,0,,,
15948,711,0,0,,,
413166,670,0,0,,,
,,,,,,
category_id,Views,Cart_Additions,Purchases,View_To_Cart,Cart_To_Purchase,Overall_Conversion
1523,113,21,10,18.58,47.62,8.85
1685,419,65,34,15.51,52.31,8.11
147,290,39,21,13.45,53.85,7.24
4,144,13,10,9.03,76.92,6.94
669,101,17,7,16.83,41.18,6.93
57,2229,128,150,5.74,117.19,6.73
1541,216,55,13,25.46,23.64,6.02
340,204,18,11,8.82,61.11,5.39
444,651,67,35,10.29,52.24,5.38
1074,374,60,19,16.04,31.67,5.08
103,236,19,12,8.05,63.16,5.08
797,294,30,13,10.2,43.33,4.42
1037,5190,658,226,12.68,34.35,4.35
417,1916,206,82,10.75,39.81,4.28
686,6052,426,236,7.04,55.4,3.9
151,183,9,7,4.92,77.78,3.83
972,1975,164,74,8.3,45.12,3.75
1189,270,20,10,7.41,50,3.7
977,522,35,19,6.7,54.29,3.64
1163,7157,374,259,5.23,69.25,3.62
,,,,,,
Customer_Stage,Customers,,,,,
Viewed Only,1368715,,,,,
Viewed + Cart,24173,,,,,
Completed Purchase,10228,,,,,
Other,4464,,,,,
