visitor_id,Last_Purchase_Date,Recency,Frequency,Monetary
1150086,24:58.0,1,559,559
152963,43:12.0,0,349,349
530559,16:45.0,6,286,286
684514,00:53.0,74,189,189
861299,23:13.0,30,188,188
76757,34:21.0,86,185,185
138131,55:18.0,78,173,173
890980,57:08.0,52,145,145
1297062,27:48.0,46,136,136
247235,58:30.0,4,132,132
1161163,05:07.0,92,115,115
350566,03:48.0,104,112,112
645525,00:28.0,11,107,107
198270,33:55.0,2,104,104
757355,06:34.0,56,101,101
705542,38:29.0,41,100,100
371606,50:59.0,61,94,94
163561,33:17.0,106,92,92
836635,48:18.0,76,90,90
1385073,43:01.0,37,86,86
286616,13:21.0,104,75,75
899857,21:53.0,8,72,72
994820,28:35.0,3,71,71
1093035,44:52.0,100,68,68
569539,21:24.0,0,67,67
53842,31:18.0,120,64,64
1293358,35:17.0,45,62,62
809822,53:42.0,114,60,60
548772,12:40.0,49,60,60
761482,05:25.0,127,59,59
1143383,46:24.0,96,56,56
952246,27:19.0,65,55,55
227091,33:23.0,113,53,53
389532,40:49.0,120,52,52
765630,40:29.0,85,51,51
895999,17:22.0,1,50,50
371604,09:19.0,92,48,48
303381,46:02.0,23,47,47
438441,48:19.0,106,47,47
1075423,43:30.0,83,47,47
404403,51:49.0,109,45,45
974226,38:46.0,63,45,45
57905,21:21.0,107,44,44
17676,32:18.0,28,42,42
797409,59:09.0,31,40,40
518659,14:35.0,11,40,40
750601,55:45.0,112,39,39
841939,09:35.0,100,38,38
519839,51:42.0,68,38,38
892355,13:02.0,95,38,38
1065255,17:01.0,93,36,36
1126569,38:57.0,4,35,35
1167457,37:43.0,90,34,34
48820,20:16.0,57,34,34
171718,04:05.0,7,33,33
1035814,38:29.0,128,31,31
173863,44:24.0,3,31,31
248679,43:06.0,78,30,30
863219,34:48.0,66,28,28
1116948,07:17.0,128,27,27
1165148,12:26.0,1,27,27
477826,13:19.0,53,27,27
748040,03:10.0,97,26,26
1134975,14:29.0,25,26,26
1108631,31:08.0,36,26,26
996879,22:21.0,78,25,25
1212999,25:06.0,102,24,24
101175,13:08.0,32,24,24
829289,32:22.0,115,24,24
935325,16:51.0,130,23,23
218648,32:18.0,36,22,22
686012,45:18.0,33,22,22
1197343,37:26.0,36,22,22
824842,47:53.0,28,22,22
1076366,23:19.0,27,20,20
316850,45:55.0,13,20,20
109357,56:29.0,112,19,19
1042112,03:29.0,29,19,19
503857,04:34.0,105,19,19
547506,05:32.0,73,18,18
213145,35:36.0,102,18,18
582933,58:30.0,60,18,18
686854,14:56.0,17,18,18
222046,04:13.0,77,17,17
1341202,31:17.0,105,17,17
964794,28:38.0,40,17,17
896347,51:33.0,25,17,17
254328,32:44.0,64,16,16
822310,35:46.0,99,16,16
1178073,36:16.0,41,16,16
536804,19:03.0,73,16,16
240998,19:57.0,92,16,16
412611,36:56.0,39,16,16
565903,39:52.0,55,15,15
1255456,13:51.0,73,15,15
379932,56:40.0,136,15,15
85734,24:48.0,66,15,15
1190855,59:52.0,95,14,14
1365706,23:35.0,24,14,14
763257,42:17.0,113,14,14
962131,08:15.0,61,14,14
1179005,12:26.0,53,14,14
819547,03:32.0,114,14,14
1144857,12:42.0,76,14,14
1352044,15:39.0,21,14,14
478054,53:42.0,114,14,14
904351,05:02.0,30,14,14
170470,00:35.0,133,14,14
475479,13:34.0,58,14,14
1363612,25:32.0,8,14,14
1103541,39:07.0,11,14,14
283477,35:29.0,11,13,13
1210136,21:52.0,18,13,13
429035,45:16.0,37,13,13
358516,50:28.0,101,13,13
475172,14:14.0,7,13,13
42552,08:50.0,11,13,13
175801,18:25.0,56,13,13
280361,27:59.0,21,13,13
469022,28:52.0,3,13,13
729150,26:24.0,2,13,13
764790,53:33.0,65,13,13
219788,40:29.0,66,13,13
1003058,49:53.0,3,13,13
97675,44:26.0,64,12,12
233979,13:47.0,93,12,12
918277,18:48.0,15,12,12
430913,07:55.0,6,12,12
1352334,19:09.0,124,12,12
615132,08:59.0,41,11,11
121688,18:21.0,109,11,11
723092,33:00.0,94,11,11
457547,29:22.0,70,11,11
174972,19:21.0,53,11,11
22990,26:30.0,110,11,11
748562,57:26.0,1,11,11
416496,06:31.0,59,11,11
331925,22:21.0,31,11,11
710338,53:24.0,134,10,10
1161968,02:28.0,132,10,10
188116,57:31.0,36,10,10
1147655,32:46.0,8,10,10
379058,05:50.0,96,10,10
464410,05:04.0,34,10,10
565492,23:43.0,13,10,10
186927,20:36.0,53,10,10
1124964,42:22.0,71,10,10
895733,41:38.0,74,10,10
737053,07:44.0,5,10,10
269127,26:56.0,119,10,10
1309591,55:43.0,73,10,10
1015139,43:00.0,71,10,10
75424,58:33.0,29,10,10
896066,55:53.0,7,10,10
754218,39:17.0,126,10,10
119389,01:59.0,52,10,10
198153,56:50.0,15,10,10
591869,57:42.0,61,10,10
497371,48:56.0,9,9,9
346597,58:17.0,79,9,9
330865,32:23.0,79,9,9
581152,21:28.0,73,9,9
1169689,05:16.0,42,9,9
1336835,44:23.0,3,9,9
1005558,28:54.0,126,9,9
988939,20:31.0,72,9,9
547852,46:54.0,113,9,9
1083373,53:26.0,39,9,9
1351796,43:34.0,3,9,9
1398978,02:55.0,46,9,9
601768,39:25.0,74,9,9
1336520,12:49.0,88,9,9
345276,32:03.0,93,9,9
1235292,40:18.0,109,9,9
1376763,56:58.0,57,8,8
398205,50:40.0,58,8,8
1031663,52:19.0,32,8,8
1171448,20:19.0,134,8,8
1103914,45:37.0,62,8,8
150651,48:53.0,50,8,8
169151,14:48.0,17,8,8
883745,38:07.0,13,8,8
438780,55:07.0,64,8,8
455557,19:48.0,60,8,8
1073377,21:28.0,71,8,8
1254716,16:07.0,106,8,8
914409,20:34.0,59,8,8
191637,45:26.0,25,8,8
592787,44:12.0,104,8,8
1077984,17:32.0,2,8,8
1129614,40:08.0,7,8,8
177211,01:43.0,17,8,8
643768,52:54.0,14,8,8
1052403,59:52.0,129,8,8
1219375,44:16.0,57,8,8
1279275,31:40.0,54,8,8
693709,25:22.0,16,8,8
468466,45:45.0,114,8,8
577262,56:37.0,99,8,8
557700,38:09.0,93,8,8
799331,16:35.0,74,8,8
673572,13:03.0,108,7,7
768946,37:40.0,15,7,7
872338,10:34.0,94,7,7
660393,54:41.0,54,7,7
339526,38:13.0,23,7,7
279406,34:58.0,116,7,7
805204,52:44.0,70,7,7
1403769,42:41.0,24,7,7
1120870,36:47.0,66,7,7
1013883,46:05.0,46,7,7
1356496,02:11.0,87,7,7
1224201,36:18.0,2,7,7
1374597,30:27.0,66,7,7
481437,52:27.0,57,7,7
246785,39:15.0,37,7,7
933821,19:25.0,36,7,7
682031,16:17.0,93,7,7
1145382,18:25.0,115,7,7
1101747,53:18.0,50,7,7
38103,22:34.0,31,7,7
868541,14:44.0,137,7,7
1296635,01:00.0,23,7,7
542702,37:04.0,126,7,7
396571,00:09.0,59,7,7
55389,13:09.0,122,7,7
17476,39:57.0,52,7,7
192890,16:07.0,66,6,6
1358060,30:53.0,116,6,6
593905,30:00.0,120,6,6
98071,02:52.0,112,6,6
328055,02:45.0,41,6,6
813387,19:13.0,98,6,6
1272407,04:13.0,132,6,6
664763,16:46.0,93,6,6
1299506,18:34.0,126,6,6
1140886,32:38.0,67,6,6
986577,06:41.0,67,6,6
1185234,56:33.0,102,6,6
1168431,16:32.0,100,6,6
1254379,28:32.0,44,6,6
1061238,12:02.0,14,6,6
1213423,35:58.0,5,6,6
530863,40:27.0,109,6,6
621474,17:45.0,103,6,6
1055401,23:09.0,27,6,6
303412,02:25.0,52,6,6
1284340,37:43.0,99,6,6
519885,59:16.0,52,6,6
961421,12:01.0,22,6,6
754039,32:33.0,19,6,6
960004,16:38.0,104,6,6
168685,39:18.0,107,6,6
21712,36:01.0,83,6,6
998017,00:01.0,67,6,6
528074,22:43.0,94,6,6
1292947,26:04.0,54,6,6
968159,24:54.0,61,6,6
958461,22:56.0,81,6,6
761783,17:23.0,16,6,6
537639,06:25.0,65,6,6
109184,50:03.0,45,6,6
693528,24:52.0,66,6,6
273406,04:33.0,109,6,6
1122870,00:14.0,7,6,6
433583,13:45.0,83,6,6
215049,51:31.0,53,6,6
1258928,31:18.0,100,6,6
1172087,21:30.0,14,6,6
347598,24:53.0,79,6,6
454654,18:20.0,14,6,6
509444,32:17.0,57,6,6
157419,10:45.0,98,6,6
637017,56:03.0,134,6,6
155086,24:25.0,24,6,6
918651,40:19.0,16,6,6
1153564,44:17.0,44,6,6
73306,16:54.0,34,6,6
866191,20:23.0,65,6,6
765900,31:56.0,32,6,6
1329391,46:36.0,15,6,6
1313381,23:34.0,17,6,6
1375685,50:34.0,44,6,6
218828,05:51.0,21,6,6
1236753,42:45.0,109,6,6
384126,47:06.0,77,6,6
950153,37:51.0,18,6,6
664721,35:20.0,46,6,6
656967,39:35.0,134,6,6
259278,53:27.0,110,6,6
1220372,54:12.0,54,6,6
1171630,17:13.0,71,6,6
927838,29:22.0,115,6,6
551411,26:32.0,91,6,6
562008,36:28.0,120,5,5
355834,55:34.0,8,5,5
457978,43:26.0,17,5,5
953371,22:39.0,120,5,5
1385029,29:40.0,84,5,5
1261557,53:55.0,135,5,5
196181,29:12.0,85,5,5
185564,43:40.0,118,5,5
472290,33:46.0,30,5,5
278940,18:22.0,129,5,5
650108,51:01.0,100,5,5
103637,36:06.0,60,5,5
1104771,13:19.0,18,5,5
64931,33:56.0,127,5,5
244756,20:54.0,26,5,5
527277,08:19.0,106,5,5
139850,46:21.0,24,5,5
1112013,11:01.0,44,5,5
788900,38:58.0,16,5,5
949323,17:03.0,119,5,5
619835,47:59.0,86,5,5
347610,47:24.0,2,5,5
1008739,42:12.0,51,5,5
972071,03:18.0,50,5,5
548918,25:23.0,127,5,5
985837,34:54.0,73,5,5
942926,36:56.0,119,5,5
488858,20:45.0,49,5,5
1077968,34:01.0,74,5,5
178902,43:01.0,77,5,5
582525,57:33.0,17,5,5
244123,34:15.0,14,5,5
1273306,58:39.0,51,5,5
393972,11:15.0,73,5,5
104058,39:03.0,79,5,5
529925,52:57.0,92,5,5
824082,54:10.0,5,5,5
163711,24:30.0,72,5,5
1083786,30:58.0,127,5,5
1097400,08:39.0,72,5,5
1246823,59:06.0,32,5,5
242105,27:36.0,16,5,5
952700,33:40.0,70,5,5
146698,04:43.0,99,5,5
85201,15:49.0,71,5,5
1113351,00:53.0,29,5,5
1310033,02:27.0,47,5,5
1248805,30:40.0,73,5,5
1123295,14:41.0,56,5,5
888537,25:53.0,30,5,5
820159,53:08.0,109,5,5
1020024,09:40.0,14,5,5
1042434,20:05.0,60,5,5
1368493,42:53.0,76,5,5
722990,29:21.0,63,5,5
718708,33:25.0,24,5,5
971454,47:14.0,2,5,5
746554,43:04.0,111,5,5
1095458,36:08.0,29,5,5
144849,00:29.0,42,5,5
1169956,50:23.0,75,5,5
931900,08:08.0,38,5,5
530033,04:22.0,105,5,5
846763,42:25.0,37,5,5
1331585,07:05.0,111,5,5
683901,13:07.0,8,5,5
1164713,13:54.0,30,5,5
1349155,36:05.0,8,5,5
795056,10:26.0,8,5,5
214479,32:05.0,14,5,5
173056,31:56.0,60,5,5
80204,56:49.0,25,5,5
837377,39:07.0,54,5,5
227926,37:54.0,17,5,5
115257,28:05.0,42,5,5
817474,27:36.0,9,5,5
728718,13:01.0,5,5,5
919028,47:16.0,90,5,5
787802,17:45.0,96,5,5
1020737,38:55.0,91,5,5
595640,32:54.0,20,5,5
855728,53:15.0,132,5,5
1259062,57:06.0,51,5,5
1128809,35:43.0,126,4,4
460601,18:32.0,97,4,4
39480,54:33.0,84,4,4
772262,23:46.0,35,4,4
1014434,48:32.0,134,4,4
158701,57:50.0,34,4,4
497100,02:46.0,24,4,4
483363,37:21.0,116,4,4
451673,30:14.0,103,4,4
232309,26:49.0,63,4,4
967112,57:48.0,135,4,4
961324,53:51.0,128,4,4
917500,31:16.0,81,4,4
1375515,18:40.0,100,4,4
644422,11:59.0,111,4,4
417312,13:50.0,123,4,4
531000,43:18.0,133,4,4
982154,22:46.0,46,4,4
673138,54:52.0,60,4,4
166590,37:52.0,73,4,4
1070249,01:59.0,57,4,4
329317,56:01.0,72,4,4
1143344,03:26.0,108,4,4
978112,25:21.0,114,4,4
255918,47:36.0,12,4,4
730192,44:49.0,58,4,4
182156,39:45.0,113,4,4
447405,36:37.0,85,4,4
1188952,39:38.0,23,4,4
658611,18:28.0,75,4,4
1367426,44:46.0,38,4,4
1199640,26:38.0,11,4,4
727576,51:04.0,14,4,4
1254846,18:24.0,52,4,4
509346,22:55.0,18,4,4
814864,07:17.0,76,4,4
200559,55:25.0,53,4,4
626237,17:19.0,85,4,4
152693,35:50.0,30,4,4
1320960,42:11.0,126,4,4
94030,06:24.0,54,4,4
1021811,27:55.0,96,4,4
132676,23:06.0,137,4,4
374805,43:29.0,15,4,4
789620,19:05.0,118,4,4
1390675,53:29.0,10,4,4
819587,45:19.0,94,4,4
937463,58:02.0,122,4,4
1231193,30:37.0,52,4,4
1137634,45:55.0,112,4,4
687602,03:01.0,58,4,4
548607,07:35.0,69,4,4
6699,58:51.0,133,4,4
1307466,14:24.0,130,4,4
521488,28:27.0,64,4,4
273600,21:32.0,75,4,4
1290558,30:59.0,125,4,4
403492,51:25.0,33,4,4
385857,55:00.0,59,4,4
531661,40:24.0,103,4,4
968110,39:12.0,24,4,4
967180,26:30.0,123,4,4
1217782,36:55.0,67,4,4
729960,26:25.0,45,4,4
1138326,47:57.0,64,4,4
972095,44:46.0,104,4,4
283621,48:04.0,60,4,4
169369,36:18.0,136,4,4
333296,59:46.0,93,4,4
1283922,44:02.0,22,4,4
1351788,56:02.0,94,4,4
760119,04:44.0,9,4,4
1311579,12:56.0,94,4,4
600815,40:02.0,130,4,4
1360175,06:13.0,26,4,4
608844,00:53.0,100,4,4
512033,02:09.0,13,4,4
676919,47:14.0,4,4,4
34951,54:41.0,137,4,4
1117293,48:24.0,122,4,4
134407,13:44.0,39,4,4
814663,07:18.0,60,4,4
441024,39:48.0,11,4,4
325833,28:52.0,34,4,4
55838,32:16.0,124,4,4
1260481,45:54.0,64,4,4
254146,07:43.0,127,4,4
152420,15:58.0,84,4,4
894153,51:19.0,57,4,4
915126,03:18.0,116,4,4
1017997,20:49.0,133,4,4
46535,08:23.0,94,4,4
947389,26:30.0,79,4,4
949454,06:22.0,107,4,4
6468,16:25.0,42,4,4
1172980,14:35.0,87,4,4
1104957,55:55.0,47,4,4
677255,28:07.0,128,4,4
1233979,31:20.0,93,4,4
929045,19:17.0,134,4,4
1243262,19:55.0,42,4,4
1074861,27:00.0,49,4,4
698812,16:58.0,79,4,4
135719,54:42.0,3,4,4
1189339,36:47.0,38,4,4
343559,34:23.0,123,4,4
831928,41:23.0,19,4,4
1110822,07:37.0,34,4,4
887488,25:40.0,32,4,4
509109,15:30.0,115,4,4
198573,20:00.0,16,4,4
1010834,56:43.0,112,4,4
528531,12:52.0,57,4,4
676700,04:17.0,99,4,4
413758,14:19.0,81,4,4
1238791,11:48.0,58,4,4
391657,47:14.0,123,4,4
273910,50:49.0,51,4,4
894114,35:58.0,12,4,4
395552,53:49.0,48,4,4
1307498,59:05.0,62,4,4
430663,09:43.0,8,4,4
227781,47:54.0,7,4,4
1011964,41:36.0,31,4,4
856304,53:32.0,52,4,4
165843,22:27.0,51,4,4
1005867,31:18.0,99,4,4
664551,27:45.0,9,4,4
1014071,20:09.0,60,4,4
1014701,16:59.0,60,4,4
1206963,23:38.0,7,4,4
1406087,24:24.0,108,4,4
405156,04:04.0,85,4,4
1351812,54:28.0,50,4,4
913201,53:59.0,129,4,4
149854,24:52.0,108,4,4
852251,36:56.0,75,4,4
968647,28:15.0,90,4,4
825321,12:59.0,30,4,4
244853,57:56.0,91,4,4
676990,53:40.0,11,4,4
447415,09:30.0,135,4,4
27851,52:31.0,29,4,4
783756,54:46.0,87,4,4
1216705,38:11.0,51,4,4
566951,05:56.0,80,4,4
731313,33:22.0,34,4,4
146643,09:44.0,53,4,4
82318,19:58.0,73,4,4
434803,52:18.0,3,4,4
500130,49:28.0,44,4,4
312582,27:34.0,66,4,4
837052,21:24.0,101,4,4
1320211,12:54.0,90,4,4
795060,47:40.0,107,4,4
265778,19:56.0,11,4,4
610841,49:22.0,15,4,4
220840,14:56.0,73,4,4
1271174,39:05.0,30,4,4
261238,29:22.0,7,4,4
499686,52:00.0,135,4,4
4101,32:25.0,120,4,4
1358147,11:41.0,117,4,4
642130,41:59.0,9,4,4
112757,32:30.0,71,4,4
875921,56:52.0,122,4,4
